EAN;DESCRIPCION;CLASIFICACION;CATEGORIA;PLATAFORMA;PUBLISHER
887256014711;RAINBOW SIX SIEGE - LATAM PS4;CATALOGO;Juego;PS4;UBISOFT
887256014728;RAINBOW SIX SIEGE - LATAM XBONE;CATALOGO;Juego;XBONE;UBISOFT
887256015084;ASSASSINS CREED SYNDICATE - LATAM PS4;CATALOGO;Juego;PS4;UBISOFT
887256015091;ASSASSINS CREED SYNDICATE - LATAM XBONE;CATALOGO;Juego;XBONE;UBISOFT
887256019525;ASSASSINS CREED CHRONICLES - LATAM PS4;CATALOGO;Juego;PS4;UBISOFT
887256019532;ASSASSINS CREED CHRONICLES - LATAM XBONE;CATALOGO;Juego;XBONE;UBISOFT
711719039150;PS3 JGO Castlevania: Lord of Shadows;OBSOLETO;Juego;PS3;SCEA
711719828921;PS3 JGO God of War Origins Collection;OBSOLETO;Juego;PS3;SCEA
711719983804;PS3 JGO Ratchet&Clank: Full Frontal Assault;OBSOLETO;Juego;PS3;SCEA
47875770683;TONY HAWK PRO SKATER 5 - LATAM  XBONE;OBSOLETO;Juego;XBONE;ACTIVISION
47875874480;DESTINY: THE TAKEN KING LEGENDARY EDITION - LATAM  XB360;OBSOLETO;Juego;XB360;ACTIVISION
47875874527;DESTINY: THE TAKEN KING LEGENDARY EDITION - LATAM  XBONE;OBSOLETO;Juego;XBONE;ACTIVISION
47875876491;CALL OF DUTY BLACK OPS 3 PS4 HARDENED CE;OBSOLETO;Juego;PS4;ACTIVISION
47875876514;CALL OF DUTY BLACK OPS 3 XBONE HARDENED CE;OBSOLETO;Juego;XBONE;ACTIVISION
83717202776;METAL GEAR SOLID: THE PHANTOM PAIN - ROLA - DAY 1 PS3;OBSOLETO;Juego;PS3;KONAMI
83717202844;PS3 JGO Pro Evolution Soccer 2014;OBSOLETO;Juego;PS3;SCEA
24814;PS3 ACC Bundle DS3 Blue + GoW3;OBSOLETO;Accesorio;PS3;SCEA
25237;PS3 CON Bundle 500GB + DS3 + Unc3 + GT5XL;OBSOLETO;Consola;PS3;SCEA
26041;PS3 ACC Bundle DS3 + PASBR;OBSOLETO;Accesorio;PS3;SCEA
26954;PS3 CON Bundle 500GB + Beyond + GT6;OBSOLETO;Consola;PS3;SCEA
27068;PS3 CON Bundle 500GB Estado Play 2 w/DS3GoW2Uncharted3;OBSOLETO;Consola;PS3;SCEA
27085;PS4 CON Bundle 500GB Destiny w/Destiny;OBSOLETO;Consola;PS4;SCEA
27321;PS3 CON Bundle 500GB Destiny (1) w/Destiny;OBSOLETO;Consola;PS3;SCEA
711719039051;PS3 JGO The Amazing Spiderman;OBSOLETO;Juego;PS3;SCEA
711719039129;SUPER STREET FIGHTER 4 ARCADE FAVORITOS LATAM PS3;OBSOLETO;Juego;PS3;SCEA
711719039167;PS3 JGO Metal Gear Solid 4: Guns of the Patriots;OBSOLETO;Juego;PS3;SCEA
711719039181;SONIC GENERATIONS FAVORITOS LATAM PS3;OBSOLETO;Juego;PS3;SCEA
711719039198;PS3 JGO Bayonetta;OBSOLETO;Juego;PS3;SCEA
711719039204;PS3 JGO Final Fantasy XIII;OBSOLETO;Juego;PS3;SCEA
711719039211;PS3 JGO Tomb Raider HD Collection;OBSOLETO;Juego;PS3;SCEA
711719039228;PS3 JGO Spec Ops: The Line;OBSOLETO;Juego;PS3;SCEA
711719039235;PS3 JGO Borderlands;OBSOLETO;Juego;PS3;SCEA
711719039242;PS3 JGO Bioshock;OBSOLETO;Juego;PS3;SCEA
711719039259;PS3 JGO Red Dead Redemption;OBSOLETO;Juego;PS3;SCEA
711719039266;PS3 JGO Red Dead Redemption: Undead;OBSOLETO;Juego;PS3;SCEA
711719039273;PS3 JGO LA Noire;OBSOLETO;Juego;PS3;SCEA
711719039280;PS3 JGO Max Payne 3;OBSOLETO;Juego;PS3;SCEA
711719039297;PS3 JGO Assassin's Creed: Revelations;OBSOLETO;Juego;PS3;SCEA
711719039303;PS3 JGO Just Dance 3;OBSOLETO;Juego;PS3;SCEA
711719039310;PS3 JGO Rayman Origins;OBSOLETO;Juego;PS3;SCEA
711719039372;PS3 JGO Darksiders;OBSOLETO;Juego;PS3;SCEA
711719039389;PS3 JGO Darksiders 2;OBSOLETO;Juego;PS3;SCEA
711719039709;PS3 JGO Everybody Dance 3;OBSOLETO;Juego;PS3;SCEA
711719050551;PS3 JGO Metal Gear Solid Legacy Collection;OBSOLETO;Juego;PS3;SCEA
711719050735;PS3 JGO Castlevania: Lord of Shadow 2;OBSOLETO;Juego;PS3;SCEA
711719050759;PS3 JGO Metal Gear Solid 5: Ground Zeroes;OBSOLETO;Juego;PS3;SCEA
711719050896;PS3 500GB (CECH-4211C);OBSOLETO;Consola;PS3;SCEA
711719050964;PS3 500GB (CECH-4311C) - LATAM;OBSOLETO;Consola;PS3;SCEA
711719051046;PS3 CON 12GB Coal Black (CECH-4211A) w/God of War Collection;OBSOLETO;Consola;PS3;SCEA
711719051084;PS4 JGO The Order: 1886 Collector's Edition;OBSOLETO;Juego;PS4;SCEA
711719051275;PS4 500GB (CUH-1115A) - JET BLACK;OBSOLETO;Consola;PS4;SCEA
711719051893;PS4 500GB (CUH-1115A) - GLACIER WHITE PS4;OBSOLETO;Consola;PS4;SCEA
711719051947;PS3 JGO Invizimals The Lost Kingdom;OBSOLETO;Juego;PS3;SCEA
711719052036;PS4 JGO Wolfenstein: The New Order;OBSOLETO;Juego;PS4;SCEA
711719052050;PS3 JGO Wolfenstein: The New Order;OBSOLETO;Juego;PS3;SCEA
711719052623;PS3 JGO Devil May Cry HD Collection;OBSOLETO;Juego;PS3;SCEA
711719052722;PS3 JGO Silent Hill HD Collection;OBSOLETO;Juego;PS3;SCEA
711719052784;THE WALKING DEAD - GAME OF THE YEAR - FAVORITOS - LATAM PS3;OBSOLETO;Juego;PS3;SCEA
711719052807;PS3 JGO Valkyria Chronicles;OBSOLETO;Juego;PS3;SCEA
711719052821;PS3 JGO Vanquish;OBSOLETO;Juego;PS3;SCEA
711719052869;PS3 JGO Uncharted 3: Drake's Deception (Kit Estado Play 2) NFR;OBSOLETO;Juego;PS3;SCEA
711719052999;PS3 JGO God of War 3 (Kit Estado Play 2) NFR;OBSOLETO;Juego;PS3;SCEA
711719053057;PS3 JGO Dead or Alive 5 Ultimate;OBSOLETO;Juego;PS3;SCEA
711719053217;LITTLEBIGPLANET 3 - LATAM  PS4;OBSOLETO;Juego;PS4;SCEA
711719053248;PS3 JGO Little Big Planet 3;OBSOLETO;Juego;PS3;SCEA
