CODIGO,DEALER,TIENDAS,ZONA,TIPO TIENDA,CORREO INSTRUCTOR,NOMBRE INSTRUCTOR,CORREO SUPERVISOR,NOMBRE SUPERVISOR,CORREO PROMOTOR 1,CORREO PROMOTOR 1
506,CONECTA RETAIL,CURACAO ANDAHUAYLAS,Sin Zona,C,,,,,,
895,CONECTA RETAIL,CURACAO AREQUIPA,Zona 5,B,,,,,,
879,CONECTA RETAIL,CURACAO AREQUIPA 3,Zona 5,B,,,,,,
95,CONECTA RETAIL,CURACAO AREQUIPA II,Zona 5,B,,,,,,
916,CONECTA RETAIL,CURACAO ATE,Zona 7,B,,,,,,
928,CONECTA RETAIL,CURACAO ATE II,Zona 7,B,,,,,,
42,CONECTA RETAIL,CURACAO AYACUCHO,Sin Zona,B,,,,,,
565,CONECTA RETAIL,CURACAO BARRANCA,Sin Zona,B,,,,,,
22,CONECTA RETAIL,CURACAO CAJAMARCA I,Zona 6,B,,,,,,
946,CONECTA RETAIL,CURACAO CAJAMARCA II (MEGA),Zona 6,C,,,,,,
889,CONECTA RETAIL,CURACAO CALLAO,Sin Zona,C,,,,,,
951,CONECTA RETAIL,CURACAO CAMANA,Sin Zona,C,,,,,,
57,CONECTA RETAIL,CURACAO CAÑETE,Sin Zona,B,,,,,,
954,CONECTA RETAIL,CURACAO CHACHAPOYAS,Sin Zona,C,,,,,,
935,CONECTA RETAIL,CURACAO CHEPEN,Sin Zona,C,,,,,,
924,CONECTA RETAIL,CURACAO CHICLAYO,Zona 6,A,,,,,,
953,CONECTA RETAIL,CURACAO CHICLAYO III,Zona 6,C,,,,,,
875,CONECTA RETAIL,CURACAO CHICLAYO REAL,Zona 6,B,,,,,,
39,CONECTA RETAIL,CURACAO CHIMBOTE,Zona 6,B,,,,,,
61,CONECTA RETAIL,CURACAO CHINCHA,Sin Zona,B,,,,,,
886,CONECTA RETAIL,CURACAO CHINCHA II,Sin Zona,C,,,,,,
877,CONECTA RETAIL,CURACAO CHORRILLOS,Zona 4,B,,,,,,
588,CONECTA RETAIL,CURACAO CHOSICA,Zona 7,B,,,,,,
213,CONECTA RETAIL,CURACAO CHULUCANAS,Sin Zona,C,,,,,,
562,CONECTA RETAIL,CURACAO COMAS,Zona 1,B,,,,,,
L028,CONECTA RETAIL,CURACAO CUZCO,Sin Zona,A,,,,,,
901,CONECTA RETAIL,CURACAO EL PEDREGAL,Sin Zona,C,,,,,,
958,CONECTA RETAIL,CURACAO FERREÑAFE,Sin Zona,C,,,,,,
873,CONECTA RETAIL,CURACAO GRAU,Sin Zona,B,,,,,,
440,CONECTA RETAIL,CURACAO HUACHO,Sin Zona,B,,,,,,
135,CONECTA RETAIL,CURACAO HUAMACHUCO,Sin Zona,B,,,,,,
909,CONECTA RETAIL,CURACAO HUANCAVELICA,Sin Zona,B,,,,,,
40,CONECTA RETAIL,CURACAO HUANCAYO I,Zona 7,B,,,,,,
941,CONECTA RETAIL,CURACAO HUANCAYO II (MEGA),Zona 7,B,,,,,,
939,CONECTA RETAIL,CURACAO HUANUCO,Sin Zona,B,,,,,,
959,CONECTA RETAIL,CURACAO HUANUCO 2,Sin Zona,B,,,,,,
490,CONECTA RETAIL,CURACAO HUARAL,Sin Zona,B,,,,,,
34,CONECTA RETAIL,CURACAO HUARAZ,Sin Zona,A,,,,,,
60,CONECTA RETAIL,CURACAO ICA,Zona 7,C,,,,,,
874,CONECTA RETAIL,CURACAO ICA II,Zona 7,C,,,,,,
500,CONECTA RETAIL,CURACAO ILO,Sin Zona,C,,,,,,
902,CONECTA RETAIL,CURACAO IQUITOS,Sin Zona,C,,,,,,
---,CONECTA RETAIL,CURACAO IQUITOS II,Sin Zona,C,,,,,,
927,CONECTA RETAIL,CURACAO JAEN,Sin Zona,B,,,,,,
912,CONECTA RETAIL,CURACAO JAVIER PRADO,Zona 2,B,,,,,,
982,CONECTA RETAIL,CURACAO JIRON UNION,Zona 3,B,,,,,,
416,CONECTA RETAIL,CURACAO JUANJUI,Sin Zona,C,,,,,,
110,CONECTA RETAIL,CURACAO JULIACA,Sin Zona,B,,,,,,
76,CONECTA RETAIL,CURACAO LA MERCED,Sin Zona,B,,,,,,
881,CONECTA RETAIL,CURACAO LA UNION,Sin Zona,C,,,,,,
937,CONECTA RETAIL,CURACAO LAMBAYEQUE,Zona 6,C,,,,,,
914,CONECTA RETAIL,CURACAO LOS OLIVOS,Zona 1,B,,,,,,
920,CONECTA RETAIL,CURACAO LURIN,Zona 7,B,,,,,,
918,CONECTA RETAIL,CURACAO MINKA,Zona 3,B,,,,,,
410,CONECTA RETAIL,CURACAO MOYOBAMBA,Sin Zona,B,,,,,,
883,CONECTA RETAIL,CURACAO NAZCA,Sin Zona,C,,,,,,
