EAN,DESCRIPCION,CLASIFICACION,CATEGORIA,PLATAFORMA,PUBLISHER
722674121071,Sherlock Holmes The Devil's Daughter,CATALOGO,Juego,PS4,Bandai Namco
47875878846,Skylanders Imaginators Starter Pack,CATALOGO,Juego,PS4,Activision
47875871199,Skylanders: Trap Team Starter,CATALOGO,Juego,PS3,Activision
47875870291,Skylanders: Trap Team Starter,CATALOGO,Juego,PS4,Activision
662248914879,Sleeping Dogs: Definitive Edition,CATALOGO,Juego,PS4,Square Enix
722674120326,Sword Art Online: Lost Song,CATALOGO,Juego,PS4,Bandai Namco
887256028053,Syberia 3,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719501282,Tearaway Unfolded,CATALOGO,Juego,PS4,Sony Computer Entertaiment
722674121378,Tekken 7,CATALOGO,Juego,PS4,Bandai Namco
722674121088,Tekken 7 Collectors Edition,CATALOGO,Juego,PS4,Bandai Namco
887256015626,The Crew Wild Run,CATALOGO,Juego,PS4,Ubisoft
711719500292,The Evil Within,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719500278,The Evil Within,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719501817,The Heavy Rain & Beyond: Two Souls Collection,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719503422,The Last Guardian,CATALOGO,Juego,PS4,Sony Computer Entertaiment
G1099183,The Last Of Us,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719100447,The Order: 1886,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719052784,The Walking Dead,CATALOGO,Juego,PS3,Sony Computer Entertaiment
662248913803,Tomb Raider Definitive Edition,CATALOGO,Juego,PS4,Square Enix
47875770669,Tony Hawk Pro Skater 5,CATALOGO,Juego,PS4,Activision
47875771062,Tony Hawk Pro Skater 5,CATALOGO,Juego,PS3,Activision
711719990482,Tripack: Adventure Pack,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719990499,Tripack: Family Pack,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719990505,Tripack: Hardcore Pack,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719810629,Twisted Metal,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719812326,Uncharted 2: Among Thieves,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719983798,Uncharted 3: Drake's Deception,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719047315,Uncharted 4: A Thief's End,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719502197,Uncharted 4: A Thief's End Libertalia Edition,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719502166,Uncharted 4: A Thief's End Special Edition,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719501381,Uncharted Collection,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719837527,Uncharted Greatest Hits,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719810322,Uncharted: Drake's Fortune,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719500919,Uncharted: Drake's Fortune,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719053132,Until Dawn,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719505310,Until Dawn - Rush Of Blood,CATALOGO,Juego,PSVR,Sony Computer Entertaiment
711719052050,Wolfenstein: The New Order,CATALOGO,Juego,PS3,Sony Computer Entertaiment
711719052036,Wolfenstein: The New Order,CATALOGO,Juego,PS4,Sony Computer Entertaiment
711719505297,Worlds,CATALOGO,Juego,PSVR,Sony Computer Entertaiment
